workerid,condition,response,candidate,probability,batch
1519,spr-event,49,trump,0.5157894736842106,pre
1519,spr-event,46,harris,0.4842105263157895,pre
1519,spr-event,0,other,0,pre
2746,cloze-event,100,trump,1,pre
2746,cloze-event,0,harris,0,pre
2746,cloze-event,0,other,0,pre
2408,event-spr,27,trump,0.35064935064935066,pre
2408,event-spr,50,harris,0.6493506493506493,pre
2408,event-spr,0,other,0,pre
2452,event-spr,48,harris,0.4948453608247423,pre
2452,event-spr,49,trump,0.5051546391752577,pre
2452,event-spr,0,other,0,pre
2035,cloze-event,46,trump,0.4380952380952381,pre
2035,cloze-event,55,harris,0.5238095238095238,pre
2035,cloze-event,4,other,0.0380952380952381,pre
2536,cloze-event,48,trump,0.4897959183673469,pre
2536,cloze-event,50,harris,0.5102040816326531,pre
2536,cloze-event,0,other,0,pre
2099,spr-event,43,harris,0.43,pre
2099,spr-event,57,trump,0.57,pre
2099,spr-event,0,other,0,pre
2436,event-spr,76,trump,0.5984251968503937,pre
2436,event-spr,39,harris,0.30708661417322836,pre
2436,event-spr,12,other,0.09448818897637795,pre
1894,spr-event,62,harris,0.6019417475728155,pre
1894,spr-event,41,trump,0.39805825242718446,pre
1894,spr-event,0,other,0,pre
2778,maze-event,51,trump,0.49514563106796117,pre
2778,maze-event,50,harris,0.4854368932038835,pre
2778,maze-event,2,other,0.019417475728155338,pre
1604,event-cloze,46,trump,0.46,pre
1604,event-cloze,54,harris,0.54,pre
1604,event-cloze,0,other,0,pre
2386,spr-event,35,harris,0.32710280373831774,pre
2386,spr-event,64,trump,0.5981308411214953,pre
2386,spr-event,8,other,0.07476635514018691,pre
1654,spr-event,74,harris,0.7551020408163265,pre
1654,spr-event,24,trump,0.24489795918367346,pre
1654,spr-event,0,other,0,pre
2380,event-cloze,74,harris,0.7551020408163265,pre
2380,event-cloze,24,trump,0.24489795918367346,pre
2380,event-cloze,0,other,0,pre
2298,event-spr,100,harris,1,pre
2298,event-spr,0,trump,0,pre
2298,event-spr,0,other,0,pre
1622,event-cloze,63,trump,0.5887850467289719,pre
1622,event-cloze,40,harris,0.37383177570093457,pre
1622,event-cloze,4,other,0.037383177570093455,pre
1522,event-cloze,75,harris,0.7731958762886598,pre
1522,event-cloze,22,trump,0.2268041237113402,pre
1522,event-cloze,0,other,0,pre
1466,event-maze,72,harris,0.5,pre
1466,event-maze,50,trump,0.3472222222222222,pre
1466,event-maze,22,other,0.1527777777777778,pre
2850,spr-event,45,harris,0.4166666666666667,pre
2850,spr-event,63,trump,0.5833333333333334,pre
2850,spr-event,0,other,0,pre
1591,maze-event,50,trump,0.5,pre
1591,maze-event,50,harris,0.5,pre
1591,maze-event,0,other,0,pre
2980,event-maze,91,trump,0.8504672897196262,pre
2980,event-maze,11,harris,0.102803738317757,pre
2980,event-maze,5,other,0.04672897196261682,pre
2316,cloze-event,50,harris,0.5,pre
2316,cloze-event,50,trump,0.5,pre
2316,cloze-event,0,other,0,pre
2186,event-cloze,68,harris,0.53125,pre
2186,event-cloze,60,trump,0.46875,pre
2186,event-cloze,0,other,0,pre
2653,cloze-event,52,harris,0.5306122448979592,pre
2653,cloze-event,46,trump,0.46938775510204084,pre
2653,cloze-event,0,other,0,pre
2937,event-maze,61,harris,0.5980392156862745,pre
2937,event-maze,41,trump,0.4019607843137255,pre
2937,event-maze,0,other,0,pre
1772,spr-event,53,harris,0.5463917525773195,pre
1772,spr-event,44,trump,0.4536082474226804,pre
1772,spr-event,0,other,0,pre
2291,event-cloze,52,harris,0.5252525252525253,pre
2291,event-cloze,47,trump,0.47474747474747475,pre
2291,event-cloze,0,other,0,pre
2060,spr-event,92,harris,0.9484536082474226,pre
2060,spr-event,5,trump,0.05154639175257732,pre
2060,spr-event,0,other,0,pre
2263,spr-event,50,harris,0.49504950495049505,pre
2263,spr-event,51,trump,0.504950495049505,pre
2263,spr-event,0,other,0,pre
1590,cloze-event,58,harris,0.5742574257425742,pre
1590,cloze-event,43,trump,0.42574257425742573,pre
1590,cloze-event,0,other,0,pre
1759,maze-event,49,harris,0.5,pre
1759,maze-event,49,trump,0.5,pre
1759,maze-event,0,other,0,pre
2787,cloze-event,59,trump,0.5841584158415841,pre
2787,cloze-event,42,harris,0.4158415841584158,pre
2787,cloze-event,0,other,0,pre
1634,spr-event,100,harris,0.9615384615384616,pre
1634,spr-event,2,trump,0.019230769230769232,pre
1634,spr-event,2,other,0.019230769230769232,pre
1687,cloze-event,75,trump,0.7575757575757576,pre
1687,cloze-event,24,harris,0.24242424242424243,pre
1687,cloze-event,0,other,0,pre
1961,maze-event,59,harris,0.43703703703703706,pre
1961,maze-event,76,trump,0.562962962962963,pre
1961,maze-event,0,other,0,pre
1662,event-cloze,45,harris,0.45918367346938777,pre
1662,event-cloze,53,trump,0.5408163265306123,pre
1662,event-cloze,0,other,0,pre
1679,maze-event,100,trump,0.9900990099009901,pre
1679,maze-event,1,harris,0.009900990099009901,pre
