workerid,condition,response,candidate,probability
1662,event-cloze,53,trump,0.5408163265306123
1662,event-cloze,0,other,0
1679,maze-event,100,trump,0.9900990099009901
1679,maze-event,1,harris,0.009900990099009901
1679,maze-event,0,other,0
1918,maze-event,0,trump,0
1918,maze-event,75,harris,1
1918,maze-event,0,other,0
1935,event-spr,84,trump,0.5793103448275863
1935,event-spr,61,harris,0.4206896551724138
1935,event-spr,0,other,0
2716,cloze-event,100,trump,0.6622516556291391
2716,cloze-event,50,harris,0.33112582781456956
2716,cloze-event,1,other,0.006622516556291391
2588,maze-event,52,harris,0.5306122448979592
2588,maze-event,46,trump,0.46938775510204084
2588,maze-event,0,other,0
2720,cloze-event,75,harris,0.6
2720,cloze-event,44,trump,0.352
2720,cloze-event,6,other,0.048
2054,maze-event,48,harris,0.4897959183673469
2054,maze-event,50,trump,0.5102040816326531
2054,maze-event,0,other,0
2522,maze-event,0,trump,0
2522,maze-event,100,harris,1
2522,maze-event,0,other,0
2929,spr-event,95,harris,0.5191256830601093
2929,spr-event,88,trump,0.4808743169398907
2929,spr-event,0,other,0
1518,spr-event,87,harris,0.8529411764705882
1518,spr-event,15,trump,0.14705882352941177
1518,spr-event,0,other,0
1411,spr-event,62,harris,0.6262626262626263
1411,spr-event,37,trump,0.37373737373737376
1411,spr-event,0,other,0
2193,maze-event,75,harris,0.7575757575757576
2193,maze-event,24,trump,0.24242424242424243
2193,maze-event,0,other,0
1946,spr-event,100,trump,1
1946,spr-event,0,harris,0
1946,spr-event,0,other,0
2101,spr-event,54,trump,0.5510204081632653
2101,spr-event,44,harris,0.4489795918367347
2101,spr-event,0,other,0
1775,event-maze,49,harris,0.494949494949495
1775,event-maze,50,trump,0.5050505050505051
1775,event-maze,0,other,0
1488,event-cloze,75,harris,0.6
1488,event-cloze,50,trump,0.4
1488,event-cloze,0,other,0
2381,event-spr,65,harris,0.5855855855855856
2381,event-spr,46,trump,0.4144144144144144
2381,event-spr,0,other,0
1773,cloze-event,59,trump,0.6629213483146067
1773,cloze-event,30,harris,0.33707865168539325
1773,cloze-event,0,other,0
2472,cloze-event,75,trump,0.45454545454545453
2472,cloze-event,88,harris,0.5333333333333333
2472,cloze-event,2,other,0.012121212121212121
2153,spr-event,25,trump,0.25
2153,spr-event,75,harris,0.75
2153,spr-event,0,other,0
1499,event-cloze,14,trump,0.14285714285714285
1499,event-cloze,80,harris,0.8163265306122449
1499,event-cloze,4,other,0.04081632653061224
1616,maze-event,42,harris,0.3888888888888889
1616,maze-event,66,trump,0.6111111111111112
1616,maze-event,0,other,0
2589,spr-event,55,trump,0.5555555555555556
2589,spr-event,44,harris,0.4444444444444444
2589,spr-event,0,other,0
1975,cloze-event,75,trump,0.5319148936170213
1975,cloze-event,65,harris,0.46099290780141844
1975,cloze-event,1,other,0.0070921985815602835
1743,maze-event,79,trump,0.632
